Price,House_Type,Area_in_sq_ft,No._of_Bedrooms,Location,City/County
900000,Flat / Apartment,1069,2,,London
2750000,House,2500,5,Islington,London
699500,New development,990,2, London,N7 6QX
799950,Flat / Apartment,770,2,Hampstead,London
2895000,House,2730,5, Fulham,London
799950,Flat / Apartment,940,3,Queens Club Gardens,London
2250000,House,2949,6,Fulham,London
1125000,House,2495,5, Esher,Surrey
2020000,New development,1262,3, Earls Court,London
975000,House,1308,4,Tooting,London
1595000,House,2790,6,,London
850000,Flat / Apartment,978,3, Clerkenwell,London
570000,Flat / Apartment,682,2,,London
2400000,House,2411,4,Highgate,London
475000,Flat / Apartment,496,1, Greenwich,London
800000,Flat / Apartment,734,2,Richmond,Surrey
950000,House,3006,5, Coulsdon,Surrey
1200000,House,1934,4,Putney,London
3250000,House,4370,6,Wimbledon,London
2375000,House,2153,3,Islington,London
650000,Flat / Apartment,595,2,Shannon Place,London
1295000,House,876,4,Putney,London
1000000,House,905,2,Putney,London
1885000,Flat / Apartment,1675,4,Prince of Wales Drive,London
635000,Flat / Apartment,797,2,,London
3495000,New development,4420,6, Wimbledon,London
1200000,House,1378,3, Wandsworth,London
1200000,House,1751,4, Wandsworth,London
1600000,House,2330,5,Wandsworth,London
799000,House,1214,3,Putney,London
850000,Flat / Apartment,876,2,Putney,London
500000,Flat / Apartment,872,2, Northwood,Middlesex
2500000,House,1323,3,Marylebone,London
3950000,House,2547,4,Hyde Park,London
2995000,House,1393,3,,London
995000,Flat / Apartment,888,1,,London
2250000,House,1857,4,,London
749950,Flat / Apartment,855,2,,London
420000,New development,538,1, Holloway,London
424995,Flat / Apartment,422,1,Hackney,London
2150000,Flat / Apartment,2074,4,East Heath Road,London
1500000,House,1645,3,Fulham,London
1575000,House,2115,4,,London
1500000,House,2242,5,,London
550000,Flat / Apartment,600,1, Canary Wharf,London
475000,Flat / Apartment,381,1,Clerkenwell,London
595000,Flat / Apartment,791,2,Edith Terrace,London
2250000,House,2937,6,Barnes,London
755000,Flat / Apartment,907,3,,London
900000,Flat / Apartment,1218,3,Battersea,London
1990000,Flat / Apartment,1560,2,St. James's,London
1195000,House,1464,3,Wimbledon,London
450000,Flat / Apartment,696,2,,London
325000,Flat / Apartment,339,1,Victoria Park,London
1150000,House,1541,4,,London
850000,Flat / Apartment,1456,2, Putney,London
879000,New development,1004,2, Putney,London
1295000,House,1875,5,,London
575000,Flat / Apartment,695,2,Nightingale Lane,London
4100000,Flat / Apartment,1496,2,Mayfair,London
1800000,House,1919,3,Islington,London
649950,Flat / Apartment,804,2,52 Holloway Road,London
899950,Flat / Apartment,1143,2,West Hampstead,London
1999950,New development,1848,3,,London
1995000,New development,3510,5,Surbiton,Surrey
1595000,Flat / Apartment,1170,2,Kensington,London
499000,New development,690,2,Mayflower Street,London
3410000,Penthouse,2852,4,Riverside Quarter,London
6750000,Flat / Apartment,2823,5,,London
2850000,House,1724,3,,London
1895000,Flat / Apartment,1474,3,,London
1650000,House,1756,4,Fulham,London
1225000,House,1806,4,Fulham,London
1100000,House,2145,5,,London
